# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1039.738     2724.336
       0.107      152.100     1037.492     2724.336
       0.212       92.600     1039.648     2724.336
       0.320      196.500     1040.145     2724.336
       0.427       47.600     1040.172     2724.336
       0.532      104.900     1042.602     2724.336
       0.637      156.400     1043.008     2724.336
       0.745       85.500     1043.266     2724.336
       0.850       47.100     1045.270     2724.336
       0.956      162.000     1052.086     2730.336
       1.061       95.400     1053.367     2730.336
